Title,Section,Template,Type,Priority,References,Automation Type,Automation ID,Preconditions,Steps,Expected Result
LF_O_TC102 — Orders Line Item Status: Option list order,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC102_LineItemStatus_OptionOrderTest#tc102_lineItemStatus_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_O_TC101 — Orders Line Item Status: Basic,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC101_LineItemStatus_BasicTest#tc101_lineItemStatus_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. Log in; set calendar to Yesterday
2. Navigate to Orders tab
3. Verify Line Item Status is visible in left panel
4. Expand Line Item Status
5. Confirm options load and Select All at top
6. Collapse filter",Line Item Status is visible; expands/collapses; options and Select All at top display correctly
LF_O_TC201 — Orders Line Item Status: Search,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC201_LineItemStatus_SearchTest#tc201_lineItemStatus_search,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Note first visible option label
3. Type into filter search box
4. Verify filtered results
5. Clear search",Search returns matching options; clear restores list
LF_O_TC401 — Orders Line Item Status: Select all,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC401_LineItemStatus_SelectAllTest#tc401_lineItemStatus_selectAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Click Select All
3. Verify all options selected and counts
4. Deselect one option — check indeterminate
5. Deselect all",Select All selects all; indeterminate on partial; counts inside/outside match
LF_O_TC601 — Orders Line Item Status: Table sync,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC601_LineItemStatus_TableSyncTest#tc601_lineItemStatus_tableSync,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Select one option with non-zero count
3. Compare filter option count to table total count
4. Verify first visible grid rows match filter column",Table record count matches filter count; grid rows reflect selected filter value
LF_O_TC801 — Orders Line Item Status: Scroll,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,3 - Medium,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC801_LineItemStatus_ScrollTest#tc801_lineItemStatus_scroll,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Line Item Status
2. Scroll option list vertically
3. Confirm no UI errors and options continue loading",Virtual scroll works without error; additional options appear in viewport
LF_O_TC1001 — Orders Line Item Status: Active filters,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC1001_LineItemStatus_ActiveFiltersTest#tc1001_lineItemStatus_activeFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select one option in Line Item Status
2. Select a second option (multi-select)
3. Review Active Filters chips above grid",Active Filters chips show single and multiple selections from Line Item Status
LF_O_TC1101 — Orders Line Item Status: Clear filters,Fulfillment Console > Left Filters > Orders > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.lineitemstatus.LF_O_TC1101_LineItemStatus_ClearFiltersTest#tc1101_lineItemStatus_clearFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, select options in Line Item Status
2. Remove chip from Active Filters OR click Clear
3. Verify selections cleared and grid resets",Filter selections cleared; Active Filters empty; grid shows unfiltered data
LF_O_TC103 — Orders Order Status: Option list order,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC103_OrderStatus_OptionOrderTest#tc102_orderStatus_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_O_TC102 — Orders Order Status: Basic,Fulfillment Console > Left Filters > Orders > Per Filter > Order Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.orders.orderstatus.LF_O_TC102_OrderStatus_BasicTest#tc101_orderStatus_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. Log in; set calendar to Yesterday
2. Navigate to Orders tab
3. Verify Order Status is visible in left panel
4. Expand Order Status
5. Confirm options load and Select All at top
6. Collapse filter",Order Status is visible; expands/collapses; options and Select All at top display correctly
