Title,Section,Template,Type,Priority,References,Automation Type,Automation ID,Preconditions,Steps,Expected Result
LF_O_001 — Orders: All left filters available,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_001_ValidateAllLeftFiltersAvailable#validateAllLeftFiltersAvailable,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. Log in to Fulfillment Console
2. Set calendar to Yesterday
3. Navigate to Orders tab
4. Review left filter panel accordion list","All 21 filters are visible: Line Item Status, Order Status, Environment, Job type, Submitted by, Partner, Series title, Flag, Assigned To, Season number, Region, Episode number, Brand, System Name, Language, Demand system, Error message, Franchise, Delivery Protocol, Activity Type, Content type"
LF_O_002 — Orders: Expand and collapse filter,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_002_ValidateExpandCollapseIcon#validateExpandCollapseWorks,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, locate Order Status filter
2. Click accordion to expand
3. Verify options load
4. Click accordion to collapse",Filter expands to show options; collapses and hides options
LF_O_003 — Orders: Options available on expand,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_003_ValidateOptionsAvailableOnExpand#validateOptionsAvailableOnExpand,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status filter
2. Wait for options to load",Filter options are displayed (checkbox list or range inputs as applicable)
LF_O_004 — Orders: Options alphabetical order,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_004_ValidateOptionsAlphabeticalOrder#validateOptionsAlphabeticalOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status filter
2. Review visible option labels with counts > 0",Non-zero count options appear in alphabetical order within the visible viewport
"LF_O_005 — Orders: Non-zero first, divider, zero count",Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_005_ValidateNonZeroCountFirstThenDividerThenZeroCount#validateNonZeroCountFirstThenDividerThenZeroCount,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status filter
2. Review option list top to bottom",Select All at top; non-zero count options first; divider line; zero-count options last (A-Z within each group)
LF_O_006 — Orders: Select All at top,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_006_ValidateSelectAllOptionAtTop#validateSelectAllAtTop,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status filter
2. Check first row below search box",Select All checkbox/label is at the top of the option list
LF_O_007 — Orders: Select All selects all options,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_007_ValidateSelectAllSelectsAll#validateSelectAllSelectsAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status filter
2. Click Select All
3. Review checked options",All visible options are selected; selection count updates
LF_O_008 — Orders: Select All indeterminate state,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_008_ValidateSelectAllIndeterminateState#validateSelectAllIndeterminateState,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Select one option manually
3. Observe Select All state
4. Deselect all",Select All shows indeterminate when partially selected; deselect clears all selections
LF_O_009 — Orders: Search inside filter,Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_009_ValidateSearchInsideFilter#validateSearchInsideFilter,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Order Status
2. Type partial text (e.g. deliver) in filter search
3. Review results
4. Clear search",Options filter to matching labels; clear restores full list
LF_O_010 — Orders: Select All disabled (>1000 options),Fulfillment Console > Left Filters > Orders > Tab Level Regression,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.orders.LF_O_010_ValidateSelectAllDisabledWhenMoreThan1000Options#validateSelectAllDisabledWhenMoreThan1000Options,DEV/PROD Fulfillment Console; calendar = Yesterday; Orders tab,"1. On Orders tab, expand Partner filter
2. Locate Select All control",Select All is disabled or not offered when option count exceeds 1000
