Title,Section,Template,Type,Priority,References,Automation Type,Automation ID,Preconditions,Steps,Expected Result
FF_LD_001 — App bootstrap after Okta login (enable-okta-auth removed),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Authentication,Test Case (Text),Regression,1 - Critical,BSD-28459; flag=enable-okta-auth,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_001_ValidateAppBootstrapAfterOktaLogin#validateAppBootstrapAfterOktaLogin,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access,"1. Open Fulfillment Console URL in a fresh browser session
2. Complete Okta SSO login with a valid FF user
3. Wait for the application shell to finish loading
4. Open browser DevTools → Console tab
5. Confirm Orders or Line Items tab is reachable",App bootstraps successfully without blank screen or auth-guard loop; no JS errors related to removed enable-okta-auth flag
FF_LD_002 — Okta token sent on API requests (add-okta-token-to-http-header),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Authentication,Test Case (Text),Regression,1 - Critical,BSD-28459; flag=add-okta-token-to-http-header,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_002_ValidateOktaTokenInHttpHeaders#validateOktaTokenInHttpHeaders,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access,"1. Log in to Fulfillment Console
2. Open DevTools → Network tab; filter XHR/Fetch
3. Navigate to Orders tab and wait for grid data to load
4. Select any GraphQL or REST request to the FF backend
5. Inspect Request Headers for Authorization or configured Okta token header",Authenticated API requests include the Okta bearer/token header; requests succeed (HTTP 200) without 401 due to missing token
FF_LD_003 — Orders view loads with dynamic GraphQL (enable-dynamic-graphql-generation-for-orders-view),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Orders View,Test Case (Text),Regression,1 - Critical,BSD-28459; flag=enable-dynamic-graphql-generation-for-orders-view,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_003_ValidateOrdersViewDynamicGraphql#validateOrdersViewDynamicGraphql,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Orders tab; calendar = Yesterday,"1. Log in; set calendar to Yesterday
2. Navigate to Orders tab
3. Wait for grid to populate
4. Open DevTools → Network; confirm GraphQL request for orders view
5. Apply one left filter (e.g. Order Status → one value) and wait for refresh",Orders grid loads with data; GraphQL query succeeds; filtered results refresh without page reload or console errors
FF_LD_004 — Material ID column available in Orders Table View (add-material-id-to-both-the-views),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Orders View,Test Case (Text),Regression,1 - Critical,BSD-28459; flag=add-material-id-to-both-the-views,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_004_ValidateMaterialIdAvailableInOrdersTableView#validateMaterialIdAvailableInOrdersTableView,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Orders tab; calendar = Yesterday,"1. Log in; navigate to Orders tab
2. Open Table View (Manage columns)
3. Search or scroll for Material ID
4. Enable Material ID checkbox
5. Apply / Save changes and close Table View",Material ID appears in Manage columns list and can be enabled on Orders grid
FF_LD_005 — Material ID column visible and populated in Orders grid,Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Orders View,Test Case (Text),Regression,1 - Critical,BSD-28459; flag=add-material-id-to-both-the-views,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_005_ValidateMaterialIdVisibleInOrdersGrid#validateMaterialIdVisibleInOrdersGrid,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Orders tab; calendar = Yesterday; Material ID enabled in Table View,"1. On Orders tab with Material ID column enabled
2. Horizontal scroll to Material ID column if needed
3. Review column header text
4. Review cell values on first 5 visible rows",Material ID column header is visible; cells show values where backend data exists (not blank for all rows when data exists)
FF_LD_006 — Edit CRID on Orders row (add-edit-crid-to-both-the-views),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Orders View,Test Case (Text),Regression,2 - High,BSD-28459; flag=add-edit-crid-to-both-the-views,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_006_ValidateEditCridOnOrdersRow#validateEditCridOnOrdersRow,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Orders tab; calendar = Yesterday; user has edit permission; CRID editable row available,"1. On Orders tab locate a row with editable CRID
2. Open inline edit or edit action for CRID field
3. Change CRID to a valid test value (or append suffix per test data policy)
4. Save the change
5. Refresh grid or reopen row and verify persisted value",CRID edit UI opens; save succeeds; updated CRID persists in grid after refresh
FF_LD_007 — Partner End Date column visible in Orders grid (enable-partner-end-date-column),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Orders View,Test Case (Text),Regression,2 - High,BSD-28459; flag=enable-partner-end-date-column,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_007_ValidatePartnerEndDateColumnInOrders#validatePartnerEndDateColumnInOrders,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Orders tab; calendar = Yesterday,"1. Log in; navigate to Orders tab
2. Open Table View → enable Partner End Date if not already visible
3. Apply changes and locate column in grid
4. Compare displayed dates to known test order if available",Partner End Date column is present in grid and displays date values in expected format
FF_LD_008 — UUID displayed in Orders view (enable-display-of-uuid),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Orders View,Test Case (Text),Regression,2 - High,BSD-28459; flag=enable-display-of-uuid,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_008_ValidateUuidDisplayedInOrdersView#validateUuidDisplayedInOrdersView,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Orders tab; calendar = Yesterday,"1. Log in; navigate to Orders tab
2. Open Table View and enable UUID column if available
3. Apply changes
4. Locate UUID values in grid or open order Details panel
5. Verify UUID format (standard UUID pattern)",UUID is visible in Orders grid or Details where feature was previously flag-gated; values match UUID format
FF_LD_009 — Order History v2 in order Details (enable-order-history-in-the-order-view-v2),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Orders View,Test Case (Text),Regression,2 - High,BSD-28459; flag=enable-order-history-in-the-order-view-v2,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_009_ValidateOrderHistoryV2InOrderDetails#validateOrderHistoryV2InOrderDetails,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Orders tab; calendar = Yesterday; order with history exists,"1. On Orders tab select an order with known history
2. Open order Details / side panel
3. Navigate to Order History section or tab
4. Wait for history entries to load
5. Expand one history entry if collapsible",Order History v2 panel loads; history entries display with expected fields; no fallback to deprecated v1-only layout
FF_LD_010 — Line Items view loads (enable-line-item-view),Fulfillment Console > BSD-28459 > Feature Flag Cleanup > Line Items View,Test Case (Text),Regression,1 - Critical,BSD-28459; flag=enable-line-item-view,Java TestNG,com.paramount.test.ff.uitests.tests.featureflag.bsd28459.FF_LD_010_ValidateLineItemsViewLoads#validateLineItemsViewLoads,UAT or PROD Fulfillment Console build containing BSD-28459 feature-flag cleanup; valid Okta user with FF access; Line Items tab; calendar = Yesterday,"1. Log in; set calendar to Yesterday
2. Click Line Items tab
3. Wait for grid to populate
4. Verify left filter panel and grid headers render",Line Items view loads without error; grid shows data; no blank page from removed flag branch
