Test ID,Tab,Title,Priority,Type,Regression Bug,Automate Class (future),Pass/Fail,Notes
FF_DCP_001,Orders,Date picker icon visible on all in-scope date columns,P0,UI,,FF_DCP_O_001,,
FF_DCP_002,Line Items,Date picker icon visible on all in-scope date columns,P0,UI,,FF_DCP_LI_001,,
FF_DCP_003,Orders,Non-date columns do not show date picker icon,P0,UI,,FF_DCP_O_003,,
FF_DCP_004,Orders,Column picker opens from header and shows date range UI,P0,Functional,,FF_DCP_O_004,,
FF_DCP_005,Line Items,Column picker opens from header and shows date range UI,P0,Functional,,FF_DCP_LI_005,,
FF_DCP_006,Orders,Apply column filter — grid updates within main calendar scope,P1,Functional,,FF_DCP_O_006,,
FF_DCP_007,Line Items,Apply column filter — grid updates within main calendar scope,P1,Functional,,FF_DCP_LI_007,,
FF_DCP_008,Orders,Last Updated column filter — cell dates within selected range,P1,Data,BSD-29511,FF_DCP_O_008,,
FF_DCP_009,Orders,Order Start date column filter — cell dates within selected range,P1,Data,,FF_DCP_O_009,,
FF_DCP_010,Orders,Partner Go live column filter — cell dates within selected range,P1,Data,BSD-29534,FF_DCP_O_010,,
FF_DCP_011,Orders,Partner end date column filter — cell dates within selected range,P1,Data,,FF_DCP_O_011,,
FF_DCP_012,Line Items,Last Updated column filter — cell dates within selected range,P1,Data,,FF_DCP_LI_012,,
FF_DCP_013,Both,Clear / remove column date filter restores previous grid,P1,Functional,,FF_DCP_013,,
FF_DCP_014,Both,Main calendar change resets or updates column filter state correctly,P1,Functional,,FF_DCP_014,,
FF_DCP_015,Orders,Left filter panel remains populated after column date filter,P1,Regression,BSD-29511,FF_DCP_O_015,,
FF_DCP_016,Line Items,Left filter panel remains populated after column date filter,P1,Regression,BSD-29511,FF_DCP_LI_016,,
FF_DCP_017,Orders,Column date filter + left filter (AND) narrows results correctly,P1,Functional,,FF_DCP_O_017,,
FF_DCP_018,Both,Active filters chip reflects column date filter,P2,UI,,FF_DCP_018,,
FF_DCP_019,Both,Two column date filters applied together (if supported),P2,Functional,,FF_DCP_019,,
FF_DCP_020,Both,Sort on date column still works with column filter active,P2,Functional,,FF_DCP_020,,
FF_DCP_021,Both,Excel export respects column date filter,P2,Functional,,FF_DCP_O_021,,
FF_DCP_022,Both,Switch Orders ↔ Line Items — column filter behaviour,P2,Functional,,FF_DCP_022,,
FF_DCP_023,Both,Feature flag off — no column date picker icons,P2,Config,,FF_DCP_023,,
