Title,Section,Template,Type,Priority,References,Automation Type,Automation ID,Preconditions,Steps,Expected Result
LF_LI_TC102 — Line Items Line Item Status: Option list order,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC102_LineItemStatus_OptionOrderTest#tc102_lineItemStatus_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Line Item Status
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_LI_TC101 — Line Items Line Item Status: Basic,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC101_LineItemStatus_BasicTest#tc101_lineItemStatus_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. Log in; set calendar to Yesterday
2. Navigate to Line Items tab
3. Verify Line Item Status is visible in left panel
4. Expand Line Item Status
5. Confirm options load and Select All at top
6. Collapse filter",Line Item Status is visible; expands/collapses; options and Select All at top display correctly
LF_LI_TC201 — Line Items Line Item Status: Search,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC201_LineItemStatus_SearchTest#tc201_lineItemStatus_search,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Line Item Status
2. Note first visible option label
3. Type into filter search box
4. Verify filtered results
5. Clear search",Search returns matching options; clear restores list
LF_LI_TC401 — Line Items Line Item Status: Select all,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC401_LineItemStatus_SelectAllTest#tc401_lineItemStatus_selectAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Line Item Status
2. Click Select All
3. Verify all options selected and counts
4. Deselect one option — check indeterminate
5. Deselect all",Select All selects all; indeterminate on partial; counts inside/outside match
LF_LI_TC601 — Line Items Line Item Status: Table sync,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC601_LineItemStatus_TableSyncTest#tc601_lineItemStatus_tableSync,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Line Item Status
2. Select one option with non-zero count
3. Compare filter option count to table total count
4. Verify first visible grid rows match filter column",Table record count matches filter count; grid rows reflect selected filter value
LF_LI_TC801 — Line Items Line Item Status: Scroll,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,3 - Medium,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC801_LineItemStatus_ScrollTest#tc801_lineItemStatus_scroll,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Line Item Status
2. Scroll option list vertically
3. Confirm no UI errors and options continue loading",Virtual scroll works without error; additional options appear in viewport
LF_LI_TC1001 — Line Items Line Item Status: Active filters,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC1001_LineItemStatus_ActiveFiltersTest#tc1001_lineItemStatus_activeFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, select one option in Line Item Status
2. Select a second option (multi-select)
3. Review Active Filters chips above grid",Active Filters chips show single and multiple selections from Line Item Status
LF_LI_TC1101 — Line Items Line Item Status: Clear filters,Fulfillment Console > Left Filters > Line Items > Per Filter > Line Item Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.lineitemstatus.LF_LI_TC1101_LineItemStatus_ClearFiltersTest#tc1101_lineItemStatus_clearFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, select options in Line Item Status
2. Remove chip from Active Filters OR click Clear
3. Verify selections cleared and grid resets",Filter selections cleared; Active Filters empty; grid shows unfiltered data
LF_LI_TC103 — Line Items Order Status: Option list order,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC103_OrderStatus_OptionOrderTest#tc103_orderStatus_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_LI_TC102 — Line Items Order Status: Basic,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC102_OrderStatus_BasicTest#tc102_orderStatus_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. Log in; set calendar to Yesterday
2. Navigate to Line Items tab
3. Verify Order Status is visible in left panel
4. Expand Order Status
5. Confirm options load and Select All at top
6. Collapse filter",Order Status is visible; expands/collapses; options and Select All at top display correctly
LF_LI_TC202 — Line Items Order Status: Search,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC202_OrderStatus_SearchTest#tc202_orderStatus_search,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Note first visible option label
3. Type into filter search box
4. Verify filtered results
5. Clear search",Search returns matching options; clear restores list
LF_LI_TC402 — Line Items Order Status: Select all,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC402_OrderStatus_SelectAllTest#tc402_orderStatus_selectAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Click Select All
3. Verify all options selected and counts
4. Deselect one option — check indeterminate
5. Deselect all",Select All selects all; indeterminate on partial; counts inside/outside match
LF_LI_TC602 — Line Items Order Status: Table sync,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC602_OrderStatus_TableSyncTest#tc602_orderStatus_tableSync,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Select one option with non-zero count
3. Compare filter option count to table total count
4. Verify first visible grid rows match filter column",Table record count matches filter count; grid rows reflect selected filter value
LF_LI_TC802 — Line Items Order Status: Scroll,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,3 - Medium,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC802_OrderStatus_ScrollTest#tc802_orderStatus_scroll,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Order Status
2. Scroll option list vertically
3. Confirm no UI errors and options continue loading",Virtual scroll works without error; additional options appear in viewport
LF_LI_TC1002 — Line Items Order Status: Active filters,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC1002_OrderStatus_ActiveFiltersTest#tc1002_orderStatus_activeFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, select one option in Order Status
2. Select a second option (multi-select)
3. Review Active Filters chips above grid",Active Filters chips show single and multiple selections from Order Status
LF_LI_TC1102 — Line Items Order Status: Clear filters,Fulfillment Console > Left Filters > Line Items > Per Filter > Order Status,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.orderstatus.LF_LI_TC1102_OrderStatus_ClearFiltersTest#tc1102_orderStatus_clearFilters,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, select options in Order Status
2. Remove chip from Active Filters OR click Clear
3. Verify selections cleared and grid resets",Filter selections cleared; Active Filters empty; grid shows unfiltered data
LF_LI_TC104 — Line Items Environment: Option list order,Fulfillment Console > Left Filters > Line Items > Per Filter > Environment,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.environment.LF_LI_TC104_Environment_OptionOrderTest#tc104_environment_optionOrder,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Environment
2. Verify Select All is first
3. Review non-zero options order
4. Check divider before zero-count options if present
5. Verify zero-count options A-Z",Select All first; non-zero A-Z; divider; zero-count A-Z in visible viewport
LF_LI_TC103 — Line Items Environment: Basic,Fulfillment Console > Left Filters > Line Items > Per Filter > Environment,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.environment.LF_LI_TC103_Environment_BasicTest#tc103_environment_basic,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. Log in; set calendar to Yesterday
2. Navigate to Line Items tab
3. Verify Environment is visible in left panel
4. Expand Environment
5. Confirm options load and Select All at top
6. Collapse filter",Environment is visible; expands/collapses; options and Select All at top display correctly
LF_LI_TC203 — Line Items Environment: Search,Fulfillment Console > Left Filters > Line Items > Per Filter > Environment,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.environment.LF_LI_TC203_Environment_SearchTest#tc203_environment_search,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Environment
2. Note first visible option label
3. Type into filter search box
4. Verify filtered results
5. Clear search",Search returns matching options; clear restores list
LF_LI_TC403 — Line Items Environment: Select all,Fulfillment Console > Left Filters > Line Items > Per Filter > Environment,Test Case (Text),Functional,2 - High,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.environment.LF_LI_TC403_Environment_SelectAllTest#tc403_environment_selectAll,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Environment
2. Click Select All
3. Verify all options selected and counts
4. Deselect one option — check indeterminate
5. Deselect all",Select All selects all; indeterminate on partial; counts inside/outside match
LF_LI_TC603 — Line Items Environment: Table sync,Fulfillment Console > Left Filters > Line Items > Per Filter > Environment,Test Case (Text),Functional,1 - Critical,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.environment.LF_LI_TC603_Environment_TableSyncTest#tc603_environment_tableSync,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Environment
2. Select one option with non-zero count
3. Compare filter option count to table total count
4. Verify first visible grid rows match filter column",Table record count matches filter count; grid rows reflect selected filter value
LF_LI_TC803 — Line Items Environment: Scroll,Fulfillment Console > Left Filters > Line Items > Per Filter > Environment,Test Case (Text),Functional,3 - Medium,Left Filters,Java TestNG,com.paramount.test.ff.uitests.tests.leftfiltersvalidation.perfilter.lineitems.environment.LF_LI_TC803_Environment_ScrollTest#tc803_environment_scroll,DEV/PROD Fulfillment Console; calendar = Yesterday; Line Items tab,"1. On Line Items tab, expand Environment
2. Scroll option list vertically
3. Confirm no UI errors and options continue loading",Virtual scroll works without error; additional options appear in viewport
